date,party,supervised_discriminatory
2008-10-07,Dem,2
2008-10-07,Rep,2
2008-10-15,Dem,0
2008-10-15,Rep,2
2012-10-03,Dem,0
2012-10-03,Rep,2
2012-10-11,Dem,2
2012-10-11,Rep,10
2012-10-16,Dem,4
2012-10-16,Rep,24
2012-10-22,Dem,2
2012-10-22,Rep,10
2016-09-26,Dem,4
2016-09-26,Rep,18
2016-10-04,Dem,36
2016-10-04,Rep,44
2016-10-09,Dem,8
2016-10-09,Rep,22
2016-10-19,Dem,10
2016-10-19,Rep,24
2020-09-29,Dem,4
2020-09-29,Rep,4
2020-10-22,Dem,10
2020-10-22,Rep,22
2024-06-27,Dem,0
2024-06-27,Rep,1
2024-09-10,Dem,7
2024-09-10,Rep,16
