date,party,aggressive,inflammatory,discriminatory
2008-10-07,Dem,22,106,6
2008-10-07,Rep,34,110,10
2008-10-15,Dem,14,58,4
2008-10-15,Rep,34,154,14
2012-10-03,Dem,14,36,4
2012-10-03,Rep,32,60,8
2012-10-11,Dem,56,168,20
2012-10-11,Rep,68,226,26
2012-10-16,Dem,24,76,20
2012-10-16,Rep,64,124,22
2012-10-22,Dem,32,72,6
2012-10-22,Rep,32,176,24
2016-09-26,Dem,50,134,40
2016-09-26,Rep,158,354,100
2016-10-04,Dem,140,298,84
2016-10-04,Rep,104,228,52
2016-10-09,Dem,50,114,46
2016-10-09,Rep,270,416,162
2016-10-19,Dem,66,208,66
2016-10-19,Rep,224,448,136
2020-09-29,Dem,170,200,60
2020-09-29,Rep,226,366,108
2020-10-22,Dem,112,246,70
2020-10-22,Rep,232,296,100
